gene,kME
DYNLRB1,0.66
CEP350,0.659
RFC1,0.658
ARLN,0.655
LAMP3,0.655
MRTO4,0.655
GTF2A1,0.655
FAM222B,0.651
CLSTN3,0.648
ZNF580,0.648
RAVER2,0.647
PDK1,0.646
SMC6,0.645
CLDN20,0.645
FKBP8,0.644
ITGB3BP,0.643
TRPM7,0.643
HTT,0.642
UBE2D4,0.642
USP9X,0.64
CALCOCO1,0.639
POC5,0.639
OBSCN,0.636
THOC2,0.636
MFN2,0.635
PIGF,0.634
RHBDD2,0.633
NBR1,0.631
FBXL14,0.631
RETSAT,0.63
DAG1,0.625
BTF3L4,0.625
TMEM94,0.621
NKAP,0.621
RPRD2,0.62
SRP54,0.62
CCT5,0.62
BRF2,0.618
CRELD1,0.616
UBAP2L,0.616
SMG1,0.615
CUL1,0.615
UPF2,0.614
ENPP5,0.612
SH2B1,0.611
ACBD4,0.611
ZNF844,0.61
GGCT,0.61
ZFX,0.609
SETD5,0.608
ZNF547,0.608
RBM28,0.606
ERAL1,0.603
PPP1R7,0.602
DMTF1,0.602
VPS52,0.602
NSL1,0.602
RTF1,0.601
RALBP1,0.6
ABTB3,0.596
BLCAP,0.595
CEP89,0.594
TARS2,0.593
PXMP4,0.593
GSTM4,0.592
FBXO44,0.592
MRPS18B,0.591
UBA1,0.591
CNOT6,0.589
DNASE1,0.589
SRI,0.589
ANKRD36B,0.589
CCNE2,0.588
TMEM184B,0.587
RAP2A,0.586
DLGAP4,0.582
ZNF425,0.578
RACGAP1,0.577
TXNDC15,0.575
LACTB2,0.575
RFXAP,0.573
TBC1D17,0.57
ING4,0.569
ENPP4,0.568
WNK1,0.563
WDR44,0.563
UBR5,0.561
ELOVL6,0.561
MTFR2,0.559
NUMA1,0.558
PFAS,0.558
ABCA2,0.555
ERCC8,0.555
TMED10,0.555
GOLGA4,0.553
TRIM41,0.552
MRPS17,0.552
UQCR10,0.551
HSPA1L,0.547
TFPT,0.545
DNPH1,0.545
SUPT6H,0.543
MARCHF6,0.54
FOXRED1,0.538
SMC3,0.537
CCDC92,0.537
ATP5MC1,0.536
CDK13,0.535
NPDC1,0.533
RALGAPB,0.531
SGCE,0.53
CNOT4,0.53
ZNF778,0.527
TRIM69,0.525
ZFP64,0.525
TSFM,0.525
EP400,0.519
GATD1,0.519
STAM,0.519
CBX6,0.518
YTHDC2,0.516
EZH1,0.516
RNF11,0.515
TRIM13,0.515
TRIM33,0.514
FUBP3,0.511
MBD3,0.507
LINC00471,0.506
CLPTM1,0.505
F8,0.505
NFAT5,0.505
AEBP2,0.498
NSD2,0.497
CMTR1,0.494
HDLBP,0.491
TRAPPC12,0.487
PDZD4,0.486
ICMT,0.482
ATP2B1,0.471
SPATA41,0.471
DNM3,0.468
MRPS5,0.467
PPARA,0.467
CELA1,0.466
DCTN2,0.46
OSBP,0.456
SREK1,0.456
KPNB1,0.454
ASXL2,0.454
GPATCH2,0.449
MTM1,0.447
CSNK2A1,0.447
SUMO4,0.447
GBF1,0.444
LUZP1,0.441
RSAD2,0.44
SIRT2,0.432
MCCC2,0.432
KDM5B,0.425
BLTP2,0.421
MVB12B,0.419
CEP192,0.417
DCAF7,0.416
RNASEL,0.402
AFF3,0.402
ANKRD12,0.398
N4BP2L2,0.392
IWS1,0.364
DDX46,0.364
INF2,0.363
TPR,0.362
LARP4B,0.345
GPX4,0.344
DDX42,0.337
STXBP3,0.33
DAPK3,0.328
VIPR1,0.328
PHIP,0.324
GOLGA3,0.321
MTIF2,0.309
GTF2F1,0.303
PROS1,-0.313
SSX3,-0.319
KCNA7,-0.33
ALK,-0.331
SURF6,-0.332
NEU2,-0.343
ELF2,-0.35
R3HDM2,-0.353
TMEM39B,-0.354
NIN,-0.36
SLTM,-0.378
GPR143,-0.378
SNRNP25,-0.379
NMT1,-0.384
SREBF2,-0.384
PCBD1,-0.392
CCDC126,-0.392
CEPT1,-0.396
TBC1D5,-0.404
MAST2,-0.408
SPMIP6,-0.421
KIFC2,-0.422
CDK5R2,-0.428
TAOK2,-0.43
PRAMEF1,-0.432
IP6K3,-0.434
NOS2,-0.44
SPATA22,-0.441
SDHAF4,-0.448
CRAT,-0.448
ALYREF,-0.448
CFHR2,-0.449
MAP2K1,-0.45
DEFB127,-0.458
HDAC9,-0.458
AP3D1,-0.462
LCAT,-0.466
AKT1S1,-0.477
STX16,-0.477
GAS2L1,-0.479
MAP1S,-0.48
AGO1,-0.484
C14orf39,-0.487
ATP5ME,-0.49
RASL10A,-0.492
HES6,-0.493
SPARC,-0.497
ZDHHC14,-0.498
HCG27,-0.498
ADAM29,-0.501
DNAJC7,-0.501
PKD2L1,-0.506
BAP1,-0.509
GRHPR,-0.509
EFEMP2,-0.509
RBPJ,-0.513
DDRGK1,-0.513
ABAT,-0.514
NANOS1,-0.519
BLTP3A,-0.522
KMT2C,-0.525
ADHFE1,-0.526
AFF4,-0.526
CXCL11,-0.531
RAI1,-0.538
PLEKHB2,-0.538
PCOLCE,-0.539
POLD3,-0.543
PXK,-0.544
AGPAT4,-0.55
LIMK1,-0.551
TMEM207,-0.551
EXTL3,-0.553
BRCA1,-0.553
LEP,-0.555
SAP30L,-0.56
ADIPOR2,-0.563
CCDC122,-0.564
PDZRN3,-0.565
DPCD,-0.566
ENKUR,-0.566
CCDC112,-0.567
ZIC2,-0.572
ACTA2,-0.574
CLSPN,-0.575
CD38,-0.58
ASAP1,-0.582
SCUBE1,-0.582
ARHGAP22,-0.587
TUBA3FP,-0.588
CTBP2,-0.592
YBX1,-0.594
CNDP2,-0.595
SDK1,-0.597
CERT1,-0.598
SPAG6,-0.599
OSGIN2,-0.602
SPC25,-0.604
DFFA,-0.606
C3orf36,-0.608
ZNF362,-0.609
SLC4A2,-0.61
LARP7,-0.61
FAR1,-0.61
CS,-0.611
CLTB,-0.611
RUVBL2,-0.611
RASL10B,-0.611
NRGN,-0.612
PCDHA9,-0.614
RUNDC1,-0.615
HMHB1,-0.618
FOXO4,-0.619
HCFC1R1,-0.62
TXNRD1,-0.621
OLFML2B,-0.621
BEGAIN,-0.626
ARIH1,-0.627
DGLUCY,-0.627
GLIS2,-0.628
SLC25A22,-0.63
STRADA,-0.63
AHSA2P,-0.63
FMO1,-0.633
COL4A2,-0.634
MZF1,-0.634
LHPP,-0.635
GALC,-0.637
MAP3K5,-0.643
ZBTB16,-0.643
L3MBTL4,-0.644
SELE,-0.649
ANO10,-0.652
MYO1E,-0.653
EVI5L,-0.654
MT2A,-0.654
AAMDC,-0.658
FBXL19,-0.658
CACNG4,-0.661
LRRC43,-0.662
FAM83F,-0.665
G6PC3,-0.667
STAU1,-0.669
RCN1,-0.669
TAF1L,-0.669
MRM2,-0.669
MT1X,-0.669
FANCL,-0.671
HNRNPH2,-0.672
CES2,-0.673
CCPG1,-0.673
PRDX5,-0.673
EIF4G1,-0.674
SRRM3,-0.674
DHX57,-0.675
HMGCL,-0.675
